,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT
70-75,0.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.0,0.0
71-76,0.0,0.0,0.498,0.502,0.0,0.0,0.0,0.0,0.0,0.0
72-77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73-78,0.0,0.0,0.472,0.528,0.0,0.0,0.0,0.0,0.0,0.0
74-79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75-80,0.0,0.119,0.0,0.83,0.051,0.0,0.0,0.0,0.0,0.0
76-81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77-82,0.0,0.079,0.0,0.921,0.0,0.0,0.0,0.0,0.0,0.0
78-83,0.0,0.107,0.0,0.488,0.0,0.099,0.0,0.0,0.0,0.306
79-84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80-85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81-86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82-87,0.0,0.0,0.0,0.775,0.018,0.0,0.0,0.0,0.208,0.0
83-88,0.0,0.0,0.416,0.485,0.059,0.0,0.0,0.0,0.039,0.0
84-89,0.0,0.101,0.147,0.1,0.336,0.001,0.03,0.011,0.268,0.006
85-90,0.0,0.294,0.0,0.0,0.292,0.0,0.0,0.0,0.414,0.0
86-91,0.0,0.145,0.0,0.123,0.531,0.068,0.0,0.008,0.0,0.125
87-92,0.0,0.139,0.0,0.0,0.861,0.0,0.0,0.0,0.0,0.0
88-93,0.0,0.138,0.0,0.0,0.862,0.0,0.0,0.0,0.0,0.0
89-94,0.0,0.124,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.088
90-95,0.0,0.128,0.0,0.0,0.706,0.0,0.0,0.0,0.0,0.166
91-96,0.0,0.194,0.0,0.0,0.768,0.0,0.0,0.0,0.0,0.038
92-97,0.0,0.254,0.0,0.0,0.746,0.0,0.0,0.0,0.0,0.0
93-98,0.0,0.267,0.0,0.0,0.721,0.0,0.0,0.012,0.0,0.0
94-99,0.0,0.38,0.0,0.0,0.282,0.0,0.0,0.338,0.0,0.0
95-100,0.0,0.829,0.0,0.0,0.036,0.0,0.0,0.135,0.0,0.0
96-101,0.0,0.186,0.311,0.0,0.0,0.0,0.0,0.157,0.0,0.346
97-102,0.0,0.059,0.284,0.396,0.0,0.0,0.0,0.0,0.0,0.261
98-103,0.0,0.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.847
99-104,0.0,0.0,0.0,0.0,0.094,0.0,0.082,0.0,0.0,0.824
100-105,0.0,0.0,0.523,0.0,0.0,0.0,0.477,0.0,0.0,0.0
101-106,0.0,0.0,0.516,0.0,0.0,0.0,0.484,0.0,0.0,0.0
102-107,0.0,0.0,0.663,0.0,0.0,0.0,0.0,0.337,0.0,0.0
103-108,0.0,0.0,0.57,0.191,0.0,0.0,0.0,0.239,0.0,0.0
104-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.678,0.0
105-110,0.0,0.0,0.0,0.792,0.0,0.0,0.0,0.108,0.1,0.0
106-111,0.0,0.0,0.185,0.096,0.0,0.0,0.226,0.0,0.247,0.245
107-112,0.0,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.293,0.348
108-113,0.0,0.0,0.0,0.0,0.0,0.0,0.511,0.0,0.0,0.489
109-114,0.0,0.0,0.0,0.441,0.27,0.0,0.0,0.0,0.0,0.289
110-115,0.0,0.0,0.0,0.591,0.403,0.0,0.0,0.0,0.0,0.006
111-116,0.0,0.0,0.0,0.722,0.278,0.0,0.0,0.0,0.0,0.0
112-117,0.188,0.0,0.0,0.207,0.605,0.0,0.0,0.0,0.0,0.0
113-118,0.0,0.0,0.0,0.39,0.61,0.0,0.0,0.0,0.0,0.0
114-119,0.0,0.0,0.0,0.367,0.624,0.0,0.0,0.001,0.0,0.008
115-120,0.0,0.0,0.0,0.486,0.489,0.0,0.0,0.026,0.0,0.0
116-121,0.096,0.0,0.0,0.52,0.385,0.0,0.0,0.0,0.0,0.0
117-122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118-123,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119-124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
